Short reference,Reference,URL
"Freeport-McMoRan, Inc. (2022)","Freeport-McMoRan, Inc., 2022, Annual report, U.S. Securities and Exchange Commission Form 10-K, 232 p., accessed June 5, 2023, at https://d18rn0p25nwr6d.cloudfront.net/CIK-0000831259/6dbcd92e-1964-4cf6-b78d-831fdaaa9e86.pdf.",https://d18rn0p25nwr6d.cloudfront.net/CIK-0000831259/6dbcd92e-1964-4cf6-b78d-831fdaaa9e86.pdf
Gatten (2014),"Gatten, O.J., 2014, NI [Canadian National Instrument] 43-101 technical report on the San Rafael uranium project (including the Deep Gold uranium deposit and the Down Yonder uranium deposit), Emery County, Utah, USA: Nucla, Colorado, Pinion Ridge Mining LLC, Homeland Uranium Inc. (Utah), and Homeland Uranium Inc. (Canada), prepared by North American Exploration Inc., Kaysville, Utah, 111 p., accessed April 4, 2023, at https://western-uranium.com/reports/Technical_Report_San_Rafael.pdf.",https://western-uranium.com/reports/Technical_Report_San_Rafael.pdf
Gillerman (1953),"Gillerman, E., 1953, Fluorspar deposits of the Eagle Mountains, Trans-Pecos Texas: U.S. Geological Survey Bulletin 987, 98 p., plate 1, scale 1:24,000.",https://pubs.er.usgs.gov/publication/b987
Giroux and O'Connor (2018),"Giroux, G.H., and O'Connor, L.J., 2018, NI [Canadian National Instrument] 43-101 resource estimate for the Blue Moon massive sulphide occurrence, Township 4 South, Range 16 East MDB&M, Mariposa County, California: Report submitted to Blue Moon Zinc Corp. October 5, 2017 and amended on November 14, 2018, 70 p., accessed May 2, 2023, at https://bluemoonmining.com/wp-content/uploads/2018/11/BlueMoonZincCorp-43-101.pdf.",https://bluemoonmining.com/wp-content/uploads/2018/11/BlueMoonZincCorp-43-101.pdf
Goodwin (1957),"Goodwin, J.G., 1957, Lead and zinc in California: California Journal of Mines and Geology, v. 53, p. 353–724.",
Goodwin and others (2019),"Goodwin, R., McLeod, K., Levy, M., DiMarchi, J., Gray, J.N., and Casey, J., 2019, NI [Canadian National Instrument] 43-101 technical report, Palmer project, Alaska, USA: Vancouver, British Columbia, Canada, Constantine Metal Resources Ltd., prepared by JDS Energy and Mining, Inc., Vancouver, British Columbia, Canada, 326 p.",
Goodwin and others (2022a),"Goodwin, R., McLeod, K., Levy, M., DiMarchi, J., Gray, J.N., and Casey, J., 2022a, NI [Canadian National Instrument] 43-101 amended technical report, Palmer project, Alaska, USA: Vancouver, British Columbia, Canada, Constantine Metal Resources Ltd., prepared by JDS Energy and Mining, Inc., Vancouver, British Columbia, Canada, 387 p.",
Goodwin and others (2022b),"Goodwin, R., Retherford, R.M., Bolu, M., Hantelmann, T., Galbraith, L., Church, C., and Sharp, T., 2022b, NI [Canadian National Instrument] 43-101 preliminary feasibility study technical report Graphite One project, Alaska, USA: Vancouver, British Columbia, Canada, Graphite One Inc., prepared by JDS Energy and Mining, Inc., Vancouver, British Columbia, Canada, 395 p.",https://www.graphiteoneinc.com/wp-content/uploads/2022/10/JDS-Graphite-One-NI-43-101-PFS-20221013-compressed.pdf
Gordon and others (1958),"Gordon, MacKenzie, Jr., Tracey, J.I., Jr., and Ellis, M.W., 1958, Geology of the Arkansas bauxite region: U.S. Geological Survey Professional Paper 299, 268 p.",https://pubs.er.usgs.gov/publication/pp299
Griffith and Overstreet (1953a),"Griffith, R.F., and Overstreet, W.C., 1953a, Knob Creek monazite placer, Cleveland County, North Carolina: U.S. Atomic Energy Commission Report RME-3112, 30 p.",https://digital.library.unt.edu/ark:/67531/metadc783680/m2/1/high_res_d/metadc783680.pdf
Griffith and Overstreet (1953b),"Griffith, R.F., and Overstreet, W.C., 1953b, Buffalo Creek monazite placer, Cleveland County, North Carolina: U.S. Atomic Energy Commission Report RME-3113, 17 p.",https://digital.library.unt.edu/ark:/67531/metadc783681/m2/1/high_res_d/metadc783681.pdf
Griffith and Overstreet (1953c),"Griffith, R.F., and Overstreet, W.C., 1953c, Sandy Run Creek monazite placer, Cleveland County, North Carolina: U.S. Atomic Energy Commission Report RME-3114, 30 p.",
Griffitts (1954),"Griffitts, W.R., 1954, Beryllium resources of the tin-spodumene belt, North Carolina: U.S. Geological Survey Circular 309, 12 p.",https://pubs.usgs.gov/circ/1954/0309/report.pdf
Grosh (1949),"Grosh, W.A., 1949, Investigation of Valzinco lead-zinc mine, Spotsylvania County, Virginia: U.S. Bureau of Mines Report of Investigations 4403, 7 p.",
Guberman (2010),"Guberman, D.E., 2010, Germanium: U.S. Geological Survey 2008 Minerals Yearbook, 30.0-30.7. http://minerals.usgs.gov/minerals/pubs/commodity/germanium/myb1-2007-germa.pdf.",http://minerals.usgs.gov/minerals/pubs/commodity/germanium/myb1-2007-germa.pdf
Gustin (2022),"Gustin, M.M., 2022, NI [Canadian National Instrument] 43-101 technical report on the Sun project, Brooks Range, Alaska, USA: Vancouver, British Columbia, Canada, SolidusGold Inc., prepared by Mine Development Associates, Reno, Nevada, 137 p., accessed Febtuary 26, 2024, at https://valhallametals.com/wp-content/uploads/2023/06/Sun_43-101_2022_v2.pdf.",https://valhallametals.com/wp-content/uploads/2023/06/Sun_43-101_2022_v2.pdf
Hanley and others (1950),"Hanley, J.B., Heinrich, E.W., and Page, L.R., 1950, Pegmatite investigations in Colorado, Wyoming and Utah, 1942–1944: U.S. Geological Survey Professional Paper 227, 125 p.",https://pubs.usgs.gov/publication/pp227
Hansen and Caldwell (1955),"Hansen, L.A., and Caldwell, D.W., 1955, Monazite placers on Rabon Creek, Laurens County, and Big Generostee Creek, Anderson County, South Carolina: U.S. Atomic Energy Commission Report RME-3118, 26 p.",
Hansen and Cuppels (1954),"Hansen, L.A., and Cuppels, N.P., 1954, Monzonite [Monazite] placer on the First Broad River and its tributaries, Cleveland County, North Carolina: U.S. Atomic Energy Commission Report RME-3116, 27 p.",
Hansen and Cuppels (1955),"Hansen, L.A., and Cuppels, N.P., 1955, Monazite placer at the junction of the North Tyger River with the Middle Tyger River, Spartanburg County, South Carolina: U.S. Atomic Energy Commission Report RME-3117, 23 p.",
Hansen and Theobald (1955),"Hansen, L.A., and Theobald, P.K., 1955, Monazite placers of the Broad River and Thicketty Creek, Cherokee County, South Carolina: U.S. Atomic Energy Commission Report RME-3126, 30 p.",
Hansen and White (1954),"Hansen, L.A., and White, A.M., 1954, Monazite placers on South Muddy Creek, McDowell County, and Silver Creek, Burke County, North Carolina: U.S. Atomic Energy Commission Report RME-3115, 28 p.",
Hanson and others (2018),"Hanson, K., Orbock, E.C.C., III, Peralta, E., and Gormely, L., 2018, NI [Canadian National Instrument] 43-101 technical report on preliminary economic assessment for Gibellini Vanadium Project, Eureka County, Nevada: Vancouver, British Columbia, Canada, Silver Elephant Mining Corp. (formerly Prophecy Development Corp.), prepared by Amec Foster Wheeler E&C Services, Inc., Sparks, Nevada, 256 p., accessed April 29, 2021, at https://www.silverelef.com/files/Gibellini_2018_PEA_Technical_Report.pdf.",https://www.silverelef.com/files/Gibellini_2018_PEA_Technical_Report.pdf
Hardin (1955),"Hardin, G.C., Jr., 1955, Babb fault system, Crittenden and Livingston Counties: U.S. Geological Survey Bulletin 1012-B, 31 p.",http://pubs.er.usgs.gov/publication/b1012B
Hawley (1969),"Hawley, C.C., 1969, Geology and beryllium deposits of the Lake George (or Badger Flats) beryllium area, Park and Jefferson, Counties, Colorado: U.S. Geological Survey Professional Paper 608-A, p. A1–A44.",https://pubs.er.usgs.gov/publication/pp608A
Hecla Mining Company (2023a),"Hecla Mining Company, 2023a, Lucky Friday: Hecla Mining Company website, Mineral resources, accessed April 6, 2023, at https://www.hecla.com/operations/lucky-friday-idaho.",https://www.hecla.com/operations/lucky-friday-idaho
Hecla Mining Company (2023b),"Hecla Mining Company, 2023b, San Juan Silver: Hecla Mining Company website, Mineral resources, accessed April 6, 2023, at https://www.hecla.com/wp-content/uploads/Hecla-2022_YE_Reserves-and-Resources-Charts.pdf.",https://www.hecla.com/wp-content/uploads/Hecla-2022_YE_Reserves-and-Resources-Charts.pdf
Hecla Mining Company (2023c),"Hecla Mining Company, 2023c, Hecla reports highest silver reserves in company history: Hecla Mining Company press release dated February 14, 2023, accessed May 5, 2023, at https://stockhouse.com/news/press-releases/2023/02/14/hecla-reports-highest-silver-reserves-in-company-history.",https://stockhouse.com/news/press-releases/2023/02/14/hecla-reports-highest-silver-reserves-in-company-history
Hecla Mining Company (2023d),"Hecla Mining Company, 2023d,Greens Creek: Hecla Mining Company website, accessed February 7, 2024, at https://www.hecla.com/operations/greens-creek-alaska.",https://www.hecla.com/operations/greens-creek-alaska
Hedrick (2010),"Hedrick, J.B., 2010, Rare earths (advance release), in 2007, Minerals yearbook: U.S. Geological Survey, 19 p. accessed September 8, 2010, at http://minerals.usgs.gov/minerals/pubs/commodity/rare_earths/myb1-2007-raree.pdf.",http://minerals.usgs.gov/minerals/pubs/commodity/rare_earths/myb1-2007-raree.pdf
Heide and others (1946),"Heide, H.E., Wright, W.S., and Sanford, R.S., 1946, Exploration of Cape Mountain lode-tin deposits, Seward Peninsula, Alaska: U.S. Bureau of Mines Report of Investigations 3978, 16 p.",https://dggs.alaska.gov/pubs/id/21518
Herz (1976),"Herz, N., 1976, Titanium deposits in alkalic igneous rocks: U.S. Geological Survey Professional Paper 959-E, p. E1–E6.",https://pubs.er.usgs.gov/publication/pp959AF
Herz and Force (1987),"Herz, N., and Force, E.R., 1987, Geology and mineral deposits of the Roseland district of central Virginia: U.S. Geological Survey Professional Paper 1371, 56 p.",https://pubs.er.usgs.gov/publication/pp1371
Hess (1908),"Hess, F.L., 1908c, The magnesite deposits of California: U.S. Geological Survey Bulletin 355, 67 p.",https://pubs.er.usgs.gov/publication/b355
Hild (1946),"Hild, J.H., 1946, Exploration of alunite deposits, Marysvale, Piute County, Utah: U.S. Bureau of Mines Report of Investigations 3972, 74 p.",
Hite (1976),"Hite, R.J., 1976, A potential target for potash solution mining in Cycle 13, Paradox Member, near Moab, Utah: U.S. Geological Survey Open-File Report 76-755, 5 p.",https://pubs.usgs.gov/publication/ofr76755
Hofstra and Kreiner (2020),"Hofstra, A.H., and Kreiner, D.C., 2020, Systems-Deposits-Commodities-Critical Minerals Table for the Earth Mapping Resources Initiative (ver. 1.1, May 2021): U.S. Geological Survey Open-File Report 2020–1042, 26 p., https://doi.org/10.3133/ofr20201042.",https://doi.org/10.3133/ofr20201042
Howard and Owens (1996),"Howard, J.M., and Owens, D.R., 1996, Minerals of the Wilson Springs vanadium mines, Potash Sulphur Springs, Arkansas: Rocks and Minerals, v. 70, p. 154–170.",
Huang and others (2012),"Huang, J., Harder, M., O'Brien, M., Chow, N., Harris, J., Silva, M., Birdson, P., Ghaffari, H., and Ebrahimi, A., 2012, NI [Canadian National Instrument] 43-101 technical report and prefeasibility study, Artillery Peak Project, Mohave County, Arizona: Surrey, British Columbia, Canada, American Manganese Inc., prepared by Tetra Tech, Vancouver, British Columbia, Canada, 290 p.",
Hudson and DeYoung (1978),"Hudson, T.L., and DeYoung, J. H., Jr., 1978, Map and tables describing areas of mineral resource potential, Seward Peninsula, Alaska: U.S. Geological Survey Open-File Report 78-1-C, 62 p., 1 sheet, scale 1:1,000,000.",https://pubs.usgs.gov/publication/ofr781C
Hudson and Reed (1997),"Hudson, T.L., and Reed, B.L., Tin deposits in Alaska, in Goldfarb, R.J., and Miller, L.D, eds, Mineral deposits of Alaska: Economic Geology Mongraph 9, p. 450-465.",https://www.segweb.org/store_info/MONO/MONO-09-Additional-Product-Info.pdf
Hulse and others (2022),"Hulse, D.E., Emanuel, C., and Shutty, M., 2022, S-K 1300 technical report summary on the Lik Project, northwest Arctic Borough, Alaska, USA: Wheat Ridge, Colorado, Solitario Zinc Corp., prepared by WSP, Lakewood, Colorado, 72 p., https://www.sec.gov/Archives/edgar/data/917225/000165495422004166/sodi_ex962.htm.",https://www.sec.gov/Archives/edgar/data/917225/000165495422004166/sodi_ex962.htm
Hundhausen and others (1956),"Hundhausen, R.J., Banning, L.H., Harris, H.M., and Kelley, H.J., 1956, Exploration and utilization studies, John Day chromites, Oregon: U.S. Bureau of Mines Report of Investigations 5238, 67 p.",
Huntting (1956),"Huntting, M.T., 1956, Inventory of Washington minerals—Part II Metallic minerals: Washington Division of Mines and Geology Bulletin 37, v. 1, 428 p., v. 2, 67 p.",
Huss and others (2014),"Huss, C.E., Davidson, R., Ibrado, A.S., Roth, D., and Marek, J.M., 2014, Form 43-101F1 technical report and feasibility study Mount Hope Project, Eureka, Nevada: Eureka, Nevada, Eureka Moly, LLC, prepared by M3 Engineering & Technology Corp., Tucson, Arizona, 169 p.",
Hyperion Metals Ltd. (2021),"Hyperion Metals Ltd., 2021, Maiden resource confirms Tennessee as major untapped critical mineral province: Hyperion Metals Ltd., ASX release, October 6, 2021, accessed October 8, 2021, at https://www.asx.com.au/asxpdf/20211006/pdf/451bj6qjqm0n0v.pdf.",https://www.asx.com.au/asxpdf/20211006/pdf/451bj6qjqm0n0v.pdf
Iluka Resources Limited (2017a),"Iluka Resources Limited, 2017a, Iluka Resources Limited Updated mineral resource and ore reserve statement as of 31 December 2016: Australian Securities Exchange.",
Iluka Resources Limited (2017b),"Iluka Resources Limited, 2017b, Iluka, Company overview— Operations & projects: Iluka Resources Ltd. website, accessed September 26, 2017, at https://www.iluka.com/ company-overview/operations.",https://www.iluka.com/ company-overview/operations
Iluka Resources Limited (2018),"Iluka Resources Limited, 2018, Iluka Annual Report 2018, 156 p.",
Industrial Minerals Corporation Limited (2010),"Industrial Minerals Corporation Limited, 2010, Industrial Minerals Corporation Limited 2010 Annual Report, 90 p.",
"Intrepid Potash, Inc. (2009-2020)","Intrepid Potash, Inc., 2009-2020, 10-K: Edgar Securities and Exchange Commission, variously paged, accessed August 30, 2021, at https://www.sec.gov/edgar/searchedgar/companysearch.html.",https://www.sec.gov/edgar/searchedgar/companysearch.html
"Intrepid Potash, Inc. (2022)","Intrepid Potash, Inc., 2022, 10-K: Edgar Securities and Exchange Commission, 266 p., accessed June 5, 2023, at https://www.sec.gov/edgar/search/#/q=Intrepid%2520Potash%252C%2520Inc.",https://www.sec.gov/edgar/search/#/q=Intrepid%2520Potash%252C%2520Inc
"Intrepid Potash, Inc. (2023)","Intrepid Potash, Inc., 2023, 10-K: Edgar Securities and Exchange Commission, 97 p., accessed May 2, 2023, at https://www.sec.gov/Archives/edgar/data/1421461/000142146123000010/ipi-20221231.htm.",https://www.sec.gov/Archives/edgar/data/1421461/000142146123000010/ipi-20221231.htm
Ioneer (2023),"Ioneer, 2023, Rhyolite Ridge - Reserves and resources: Ioneer website, accessed August 15, 2023, at https://www.ioneer.com/projects/about-rhyolite-ridge/reserves-resources/.",https://www.ioneer.com/projects/about-rhyolite-ridge/reserves-resources/
IperionX (2022),"IperionX, 2022, Titan project scoping study and Technical report summary for Titan project: IperionX press release dated June 30,2022, 95 p., IperionX website, accessed April 13, 2023, at https://iperionx.com/wp-content/uploads/2022/07/Scoping-Study-June-30.pdf.",https://iperionx.com/wp-content/uploads/2022/07/Scoping-Study-June-30.pdf
Irving (2003),"Irving, Douglas F., 2003; Technical Report, Golconda Property, Wallapai Mining District, Mohave County, Arizona; prepared for Odessa Gold Corp., dated April 24, 2003.",
Jackson and Christiansen (1993),"Jackson, W.D., and Christiansen, G., 1993, International strategic minerals inventory summary report; rare-earth oxides: U.S. Geological Survey Circular 930-N, 68 p.",http://pubs.er.usgs.gov/publication/cir930N
James (1973),"James, A.H., 1973, Lead and zinc resources in Utah: Utah Geological and Mineralogical Survey Special Studies 44, 66 p.",
Jindalee Resources Limited (2023),"Jindalee Resources Limited, 2023, Mineral resource at McDermitt increases to 21.5 Mt LCE, now the largest lithium deposit in the U.S.: Jindalee Resources Limited ASX press release dated February 27, 2023, accessed May 8, 2023, at https://www.jindalee.net/site/pdf/a01eecf1-e9c2-45de-af32-c862da0f08ce/Resource-at-McDermitt-increases-to-215-Mt-LCE.pdf.",https://www.jindalee.net/site/pdf/a01eecf1-e9c2-45de-af32-c862da0f08ce/Resource-at-McDermitt-increases-to-215-Mt-LCE.pdf
John and others (1978),"John, C.B., Cheeseman, R.J., Lorenz, J.C., and Millgate, M.L., 1978, Potash ore reserves in the proposed waste isolation pilot plant area, Eddy county, southeastern New Mexico: U.S. Geological Survey Open-File Report 78-828, 52 p., https://doi.org/10.3133/ofr78828.",https://doi.org/10.3133/ofr78828
John and others (2017),"John, D.A., Seal, R.R., II, and Polyak, D.E., 2017, Rhenium, chap. P of Schulz, K.J., DeYoung, J.H., Jr., Seal, R.R., II, and Bradley, D.C., eds., Critical mineral resources of the United States—Economic and environmental geology and prospects for future supply: U.S. Geological Survey Professional Paper 1802, p. P1–P49, at http://dx.doi.org/10.3133/pp1802P.",http://dx.doi.org/10.3133/pp1802P
Johnson and Farrow (2012),"Johnson, M., and Farrow, D., 2012, NI [Canadian National Instrument] technical report for Longnose ilmenite project, Minnesota, USA: Vancouver, British Columbia, Canada, Cardero Resource Corp., prepared by SRK Consulting (Canada) Inc., Vancouver, British Columbia, Canada, 96 p., accessed January 31, 2012, at http://www.sedar.com.",http://www.sedar.com
Johnston and others (2015),"Johnston, M., Coleman, K., and Ressel, M., 2015, Late Cretaceous orogenic Au-Ag vein deposits of western and north-central Nevada—Consequences of Sevier flat-slab subduction, and links with other Cordilleran orogenic deposits: May 2015 Geological Society of Nevada 2015 Symposium, Reno, Nevada U.S.A. Symposium Proceedings, 29 p.",
Kalanchey and others (2022),"Kalanchey, R., Ghaffari, H., Hafez, S.A., Galbraith, L., Gaunt, Jdg., Titley, E., Hodgson, S., and Lang, J., 2022, NI [Canadian National Instrument] 43-101 Pebble Project preliminary economic assessment update: Vancouver, British Columbia, Canada, Northern Dynasty Minerals Ltd., prepared by Ausenco Engineering Canada, Vancouver, British Columbia, Canada, 381 p.",
Karl and Mauk (2019),"Karl, N.A., and Mauk, J.L., 2019, Tellurium deposits in the United States: U.S. Geological Survey data release, https://doi.org/10.5066/P9XANDRN.",https://doi.org/10.5066/P9XANDRN
Karl and others (2018),"Karl, N.A., Burger, M.H., and Long, K.R., 2018, Tin deposits in the United States: U.S. Geological Survey data release, https://doi.org/10.5066/P97JYNJL.",https://doi.org/10.5066/P97JYNJL
Karl and others (2019),"Karl, N.A., Mauk, J.L., Reyes, T.A., and Scott, P.C., 2019, Lithium deposits in the United States: U.S. Geological Survey data release, https://doi.org/10.5066/P9ZKRWQF.",https://doi.org/10.5066/P9ZKRWQF
Karl and others (2020),"Karl, N.A., Carroll, T.R., Burger, M.H., Knudsen, L.D., Long, K.R., Reyes, T.A., and Schmeda, G., 2020, Tungsten deposits in the United States (ver. 2.0, August 2020): U.S. Geological Survey data release, https://doi.org/10.5066/P97NJLI4.",https://doi.org/10.5066/P97NJLI4
Karl and others (2021a),"Karl, N.K., Gnesda, W.R., Mauk, J.L., and Ringer, A.L., 2021a, Gallium deposits in the United States: U.S. Geological Survey data release, https://doi.org/10.5066/P9S73UYY.",https://doi.org/10.5066/P9S73UYY
Karl and others (2021b),"Karl, N.A., Knudsen, L.D., and Mauk, J.L., 2021b, Niobium deposits in the United States: U.S. Geological Survey data release, https://doi.org/10.5066/P9I4NFSN.",https://doi.org/10.5066/P9I4NFSN
Karl and others (2022a),"Karl, N.A., Knudsen, L.D., Gnesda, W.R., Mauk, J.L., and Schmeda, G., 2022a, Graphite deposits in the United States: U.S. Geological Survey data release, https://doi.org/10.5066/P99RK9SU.",https://doi.org/10.5066/P99RK9SU
Karl and others (2022b),"Karl, N.A., Gnesda, W.R., Funk, J.A., Mauk, J.L., and Forbush, C.R., 2022b, Indium deposits in the United States: U.S. Geological Survey data release, https://doi.org/10.5066/P97FRY3M.",https://doi.org/10.5066/P97FRY3M
Kauffman (1977),"Kauffman, J.D., 1977, Description and evaluation of the Kraken Property, Custer County, Idaho: U.S. Bureau of Mines MAS Grant G0264004, 13p., accessed September 1, 2021, at https://www.idahogeology.org/WebMap/WebData/Mines.asp.",https://www.idahogeology.org/WebMap/WebData/Mines.asp
Kerins and Close (2023),"Kerins, E., and Close, S, 2023, NI [Canadian National Instrument] 43-101 technical report Ruby Graphite Project, Beaverhead County, Montana, Vancouver, British Columbia, Canada, Reflex Advanced Materials, prepared by Ethos Geological, Bozeman, Montana, 92 p.",
Kelley and others (1993),"Kelley, J.S., Tailleur, I.L., Morin, R.L., Reed, K.M., Harris, A.G., Schmidt, J.M., Brown, F.M., and Kurtak, J.M., 1993, Barite deposits in the Howard Pass quadrangle and possible relations to barite elsewhere in the northwestern Brooks Range, Alaska: U.S. Geological Survey Open-File Report 93-215, 13 p.",https://dggs.alaska.gov/pubs/id/11869
Kerr and others (2017),"Kerr, S.B., Todd, J.N., and Malhotra, D., 2017, NI [Canadian National Instrument] 43-101 technical report updated prefeasibility report, revised, Blawn Mountain project, Beaver County, Utah: Toronto, Ontario, Canada, Potash Ridge Corporation (now SOPerior Fertilizer), prepared by Mill Creek Mining Group, Mill Creek, Utah, 285 p., accessed June 4, 2021 at https://www.miningdataonline.com/reports/BlawnMountain_PFS_04242017.pdf.",https://www.miningdataonline.com/reports/BlawnMountain_PFS_04242017.pdf
Kilgore and Thomas (1982),"Kilgore, C.C., and Thomas, P.R., 1982, Manganese availability— Domestic: U.S. Bureau of Mines Information Circular 8889, 14 p.",
Kim and Drake (2023),"Kim, H., and Drake, A., 2023, NI [Canadian National Instrument] 43-101 technical report on the mineral resource update of the Bornite Project, Northwest Alaska, USA: Vancouver, British Columbia, Canada, Trilogy Metals Inc., prepared by Woods Canada, Vancouver, British Columbia, Canada,160 p., accessed January 29, 2023, at https://trilogymetals.com/site/assets/files/6047/bornite_ni_43-101.pdf.",https://trilogymetals.com/site/assets/files/6047/bornite_ni_43-101.pdf
Kingston and others (1970),"Kingston, G.A., Miller, R.A., and Carrillo, F.V., 1970, Availability of U.S. chromium resources: U.S. Bureau of Mines Information Circular 8465, 23 p.",
Kline and others (1954),"Kline, M.H., Griffith, R.F., and Hansen, L.A., 1954, Hollow Creek monazite placer, Aiken County, South Carolina: U.S. Atomic Energy Commission Report RME-3127, 29 p.",
Koba Resources Ltd. (2023),"Koba Resources Ltd., 2023, Blackpine project: Koba Resources website, accessed May 2, 2023, at https://kobaresources.com/projects/united-states/blackpine-project/.",https://kobaresources.com/projects/united-states/blackpine-project/
Krolak and others (2017),"Krolak, T., Palmer, K., Lacouture, B., and Paley, N., 2017, NI [Canadian National Instrument] 43-101 technical report Red Dog Mine, Alaska, USA: Vancouver, British Columbia, Canada, Teck Resources Limited, prepared by Teck Alaska Incorporated, Anchorage, Alaska, 158 p., accessed February 5, 2024, at https://miningdataonline.com/reports/Red%20Dog%20Mine_TR12312016.pdf.",https://miningdataonline.com/reports/Red%20Dog%20Mine_TR12312016.pdf
Kulas (1979),"Kulas, J.E., 1979, Serpentine reserve - Minnamax project: unpublished AMAX company report, 5 p.",
Lasly (2022),"Lasly, S., 2022, Assay confirms Alaska lithium discovery: Nrth of 60 Mining News, October 12, 2022, accessed September 14, 2023, at https://www.miningnewsnorth.com/story/2022/10/14/news-nuggets/assays-confirm-alaska-lithium-discovery/7597.",https://www.miningnewsnorth.com/story/2022/10/14/news-nuggets/assays-confirm-alaska-lithium-discovery/7597.
Lawrence (1963),"Lawrence, E.F., 1963, Antimony deposits of Nevada: Nevada Bureau of Mines and Geology Bulletin 61, 258 p.",
Lemmon and Dorr (1940),"Lemmon, D.M., and Dorr, J.V.N., 1940, Tungsten deposits of the Atolia District, San Bernardino and Kern Counties, California: U.S. Geological Survey Bulletin 922-H, p. 205–245.",https://pubs.er.usgs.gov/publication/b922H
Lemons and others (1982),"Lemons, Jr., J.F., Boyle, E.H., and Kilgore, C.C., 1982, Chromium availability—Domestic: U.S. Bureau of Mines Information Circular 8895, 14 p.",
Lepage and others (1991),"Lepage, C.A., Foley, M.E., and Thompson, W.B., 1991, Mining in Maine: Past, present, and future: Maine Geological Survey, Open-File Report 91-7, 9 p.",
Li (2023),"Li, Pen, 2023, Smackover Formation lithium update for 2021: Arkansas Geological Survey Open-File Report 2023-01, 6 p., accessed May 9, 2023, at https://www.geology.arkansas.gov/docs/pdf/publication/open_file_reports/OFR%202023-01.pdf.",https://www.geology.arkansas.gov/docs/pdf/publication/open_file_reports/OFR%202023-01.pdf.
Lindsey and others (1977),"Lindsey, D.A., Sokaski, M., and McIntyre, G., 1977, Status of mineral resource information for the Rocky Boy's Indian Reservation, Montana: U.S. Geological Survey and U.S. Bureau of Mines Administrative Report BIA-34, 56 p., accessed January 19, 2018, at https://www1.eere.energy.gov/tribalenergy/guide/pdfs/rocky_boys_34.pdf.",https://www1.eere.energy.gov/tribalenergy/guide/pdfs/rocky_boys_34.pdf
Ling and others (2019),"Ling, P., Brown, F., Wilcox, G., Burga, D., Barry, J., Sutcliffe, R., and Puritch, E., 2019, NI [Canadian National Instrument] 43-101 preliminary economic assessment and technical report on the Lone Mountain property, Eureka County, Nevada, USA: Toronto, Ontario, Canada, Nevada Zinc Corporation, prepared by Peimeng Ling & Associates, Toronto, Ontario, Canada, 170 p., accessed April 4, 2023, at https://img1.wsimg.com/blobby/go/c3d99ef8-dd1b-462a-a916-d7f379fee8e1/downloads/NZN_43101_PEA_June%202019.pdf?ver=1670012985319.",https://img1.wsimg.com/blobby/go/c3d99ef8-dd1b-462a-a916-d7f379fee8e1/downloads/NZN_43101_PEA_June%202019.pdf?ver=1670012985319
Listerud and Meineke (1977),"Listerud, W.H., and Meineke, D.G., 1977, Mineral resources of a portion of the Duluth Complex and adjacent rocks in St. Louis and Lake counties, northeastern Minnesota: Minnesota Department of Natural Resources, Division of Minerals Report 93, 74 p.",
Long (1992),"Long, K.R., 1992, Reserves and production data for selected ore deposits in the United States found in the files of the Anaconda Copper Company: U.S. Geological Survey Open-File Report 92-002, 22 p.",http://pubs.er.usgs.gov/publication/ofr922
Long and others (2010),"Long, K.R., Van Gosen, B.S., Foley, N.K., and Cordier, Daniel, 2010, The principal rare earth elements deposits of the United States—A summary of domestic deposits and a global perspective: U.S. Geological Survey Scientific Investigations Report 2010–5220, 96 p. Available at http://pubs.usgs.gov/sir/2010/5220/.",http://pubs.usgs.gov/sir/2010/5220/
Longwell and others (1965),"Longwell, C.R., Pampeyan, E.H., Bowyer, B., and Roberts, R.J., 1965, Geology and mineral deposits of Clark County, Nevada: Nevada Bureau of Mines and Geology Bulletin 62, 119 p., plate 1, scale 1:250,000.",
Love and others (2003),"Love, J.D., 2003, Vanadium deposits in the Lower Permian Phosphoria Formation, Afton area, Lincoln County, western Wyoming: Professional Paper 1637, accessed at https://pubs.usgs.gov/publication/pp1637.",https://pubs.usgs.gov/pp/1637/report.pdf
Loveday and Kester (2023),"Loveday, D., and Kester, J., 2023, NI [Canadian National Instrument] 43-101 technical report, TLC property, Nye County, Nevada, USA: Vancouver, British Columbia, Canada, American Lithium Corporation, prepared by Stantec Consulting, LTD, Calgary, Alberta, Canada, 113 p., https://americanlithiumcorp.com/wp-content/uploads/2021/05/NI-43-101-Technical-Report_May-4_Final.pdf.",https://americanlithiumcorp.com/wp-content/uploads/2021/05/NI-43-101-Technical-Report_May-4_Final.pdf
Lucas (1975),"Lucas, J.M., 1975, The availability of nickel, chromium and silver in Washington: Washington Geologic Survey Open-File Report 75-14, 145 p.",
MacKevett and others (1978),"MacKevett, E.M., Jr., Singer, D.A., and Holloway, C.D., 1978, Maps and tables describing metalliferous mineral resource potential of southern Alaska: U.S. Geological Survey Open-File Report 78-I-E, 2 sheets, 45 p., scale 1:1,000,000.",https://pubs.er.usgs.gov/publication/ofr781E
